cell_id,city,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
884898c92bfffff,Austin,-0.0050218906,0.27274483,-0.1621819,-0.12579025,0.1348173,0.13165493,0.04883928,0.09039477,0.16448788,-0.09428669,0.061734665,0.012712388,-0.13587329,0.27245617,-0.11877218,-0.15657163,-0.012701474,-0.17269722,0.15419921,0.15431194,0.007518014,-0.30820683,0.19061692,-0.017616052,-0.062176347,-0.19449392,0.115097895,0.3820199,0.24426524,0.09041578,-0.32803527,-0.28383553
884898c92dfffff,Austin,0.01636676,0.22584629,-0.04070246,-0.14202167,0.22630523,0.053860877,0.05291114,0.12488484,0.14343719,-0.16248414,0.09922801,0.107759155,-0.24463223,0.31408432,-0.056321528,-0.16682716,0.07349557,-0.20733234,0.12590383,0.12696172,-0.07402344,-0.32957217,0.06563108,-0.044321097,-0.13005233,-0.14484076,0.15494159,0.3876895,0.2003619,0.03938959,-0.3178752,-0.20195334
884898c931fffff,Austin,0.030117577,0.1902256,-0.15905358,0.035083182,0.051672854,0.07814735,-0.0058503617,0.029130567,0.1821391,-0.059597284,0.064326495,-0.12148359,-0.087472156,0.26269105,-0.20964919,-0.07224157,-0.069910645,0.040187217,0.14339213,0.15690607,0.07986674,-0.1145557,0.26266113,0.083933905,-0.062818505,-0.2681272,0.024589187,0.15983397,0.47158158,0.27360958,-0.30502266,-0.32521573
884898c933fffff,Austin,0.045258135,0.26769036,-0.1897699,-0.0860874,0.17231785,0.07390418,0.017526878,0.08174944,0.14677377,-0.07844556,0.08602606,-0.023434713,-0.20397782,0.39080596,-0.1301197,-0.12596115,-0.016177528,-0.16559304,0.121438496,0.22530374,-0.009663985,-0.29919356,0.14797889,0.06749494,-0.071513504,-0.18867455,0.105978034,0.30627242,0.23768276,0.1705166,-0.25618362,-0.2678511
884898c937fffff,Austin,0.00078851555,0.18164271,-0.1564064,0.07696374,-0.00087551185,0.11673981,0.036104295,0.01538522,0.12595485,-0.011366086,0.05596556,-0.13981873,-0.04182364,0.20359804,-0.20500892,-0.027305594,-0.14376393,0.07606163,0.15916596,0.12709314,0.11166023,-0.07627234,0.2808428,0.08224045,-0.04286184,-0.284452,0.03386135,0.15310118,0.49145553,0.28206488,-0.3004103,-0.32598323
884898c939fffff,Austin,0.021969462,-0.030591585,0.06358864,0.18475515,-0.17619725,-0.0008516452,-0.13642833,-0.05133964,-0.25772974,-0.07611098,0.06859027,0.01494248,0.11228482,-0.019593896,0.20754415,-0.017319955,-0.0806056,0.025034387,0.098972455,-0.08685618,-0.09106612,0.16428527,-0.22757162,-0.11195883,0.15154873,0.36877564,-0.1629984,-0.4513362,-0.16180487,-0.118455,0.4529282,0.12623602
884898c93bfffff,Austin,-0.0043757204,0.18111442,-0.1293029,-0.1909893,0.21130902,0.12120446,0.0501986,0.069505654,0.15163514,-0.118618354,0.04805526,0.005720218,-0.17438066,0.27869672,-0.14024283,-0.12502609,0.07683455,-0.1434931,0.169204,0.1259319,-0.006316653,-0.27060416,0.14612117,0.06370485,-0.1125754,-0.22987555,0.08793548,0.34897184,0.2407827,0.12612294,-0.37994733,-0.28560758
884898c93dfffff,Austin,0.027939022,0.17896445,-0.20966831,-0.022014167,0.051276658,0.14575899,0.02214445,0.005044373,0.1300035,-0.041828904,0.0469103,-0.11663652,-0.058240447,0.25650403,-0.19073874,-0.07564922,-0.06356373,0.0031159753,0.20879374,0.13783585,0.06824599,-0.16102687,0.26146665,0.10126588,-0.03998607,-0.2802405,0.0315053,0.20989466,0.40285245,0.24139279,-0.32528368,-0.35384604
884898c941fffff,Austin,0.05554005,0.17437011,-0.15556045,-0.1918217,0.21883501,0.10895414,-0.008002896,0.08015513,0.17323665,-0.15783112,0.05052759,0.043612555,-0.19676694,0.33870408,-0.129735,-0.18464355,0.13295831,-0.1614981,0.17696303,0.14702877,-0.068201736,-0.31901792,0.12464792,0.0072654793,-0.08382395,-0.1569186,0.07603386,0.338382,0.16247132,0.080371894,-0.3029207,-0.28332096
884898c943fffff,Austin,0.0014170496,0.13431306,-0.11908595,-0.21565183,0.22964138,0.108093575,0.0321767,0.072451666,0.15427084,-0.1528015,0.03390528,0.043085188,-0.18438837,0.27432287,-0.13453959,-0.1506658,0.13853844,-0.13235432,0.1816708,0.114646934,-0.052499857,-0.29806578,0.10099057,0.053915247,-0.12701161,-0.2143732,0.09450772,0.35934153,0.18599863,0.07684989,-0.38002315,-0.27880287
884898c945fffff,Austin,0.07070347,0.21273734,-0.14702614,-0.14399454,0.22111541,0.11001677,-0.024391593,0.089763224,0.14816336,-0.13490355,0.07483976,0.018001784,-0.23274358,0.3633813,-0.11654491,-0.15798806,0.07959253,-0.17788537,0.16624266,0.17661326,-0.034870412,-0.31010956,0.13091436,0.038439743,-0.09465318,-0.1339752,0.07077223,0.31559446,0.21493007,0.13788001,-0.2813294,-0.27970234
884898c947fffff,Austin,0.0447292,0.20499109,-0.09206026,-0.180576,0.24565896,0.09621866,0.0063240803,0.08242917,0.14098321,-0.15660156,0.10050985,0.030439457,-0.21451226,0.35176063,-0.07667681,-0.1603632,0.115624264,-0.20833918,0.16639125,0.13929635,-0.046144027,-0.2879648,0.11379582,0.0517008,-0.0967352,-0.15676676,0.06983678,0.32238665,0.21005529,0.12439796,-0.33215573,-0.25390935
884898c949fffff,Austin,-0.023863126,0.16462584,-0.14487767,-0.19523482,0.20330125,0.13108951,0.066647485,0.08753563,0.15210953,-0.11712595,0.019686446,0.027346386,-0.17010938,0.2632561,-0.16706198,-0.12566963,0.08023785,-0.11929424,0.1729976,0.121685766,-0.036381595,-0.2918741,0.119340144,0.02411327,-0.11039738,-0.23216964,0.1221262,0.38293952,0.20216607,0.08584185,-0.3696396,-0.28879765
884898c94bfffff,Austin,-0.02023869,0.16178359,-0.15195437,-0.19909826,0.19925083,0.13226995,0.06253447,0.08499154,0.15973166,-0.1181826,0.012410921,0.025779564,-0.16443807,0.26052088,-0.17314996,-0.12841532,0.08628223,-0.11714654,0.17316097,0.12187335,-0.03688227,-0.29034138,0.123827904,0.019509764,-0.10860701,-0.2326875,0.12040127,0.38194817,0.19846623,0.082761794,-0.36742872,-0.29280254
884898c94dfffff,Austin,0.0363538,0.18701354,-0.123181045,-0.19288193,0.225924,0.10217935,0.011471426,0.09346603,0.1635444,-0.16369765,0.06526746,0.04447003,-0.20194744,0.33320218,-0.120277055,-0.17167893,0.12204452,-0.1698585,0.17572169,0.13316922,-0.06346039,-0.30478323,0.10886506,0.0033700396,-0.09294887,-0.16538964,0.083291486,0.34092966,0.19519073,0.08988195,-0.32170242,-0.2747243
884898c961fffff,Austin,0.04875745,0.16538775,-0.08297691,-0.17346938,0.2433557,0.088972576,0.0036565978,0.078908935,0.13972183,-0.16477677,0.08238468,0.07034883,-0.20189857,0.32092315,-0.056350097,-0.16815503,0.13074331,-0.18963455,0.19031669,0.11593687,-0.052762505,-0.29424623,0.09009075,0.03630626,-0.12015497,-0.167642,0.09849637,0.34170985,0.19871207,0.089810945,-0.36710852,-0.27102262
884898c963fffff,Austin,0.025765993,0.16982995,-0.106997356,-0.2069766,0.23147644,0.1005366,0.023639074,0.089095525,0.16787015,-0.1669228,0.06477644,0.055665024,-0.19944586,0.3224259,-0.11440102,-0.17977567,0.13726032,-0.16887397,0.18144035,0.112239785,-0.08009957,-0.30162838,0.10266888,0.0021981248,-0.09406016,-0.1750163,0.09316565,0.35057563,0.17486732,0.067974664,-0.33823666,-0.2646799
884898c965fffff,Austin,0.02654137,0.19550577,-0.10167681,-0.18848974,0.23679012,0.1011529,0.03719289,0.09786785,0.1568948,-0.15077712,0.07358572,0.03911293,-0.21012153,0.33012852,-0.11043639,-0.15691319,0.10158062,-0.17435506,0.17290998,0.123206556,-0.054539934,-0.28656235,0.1074477,0.015258018,-0.102827,-0.18044384,0.09288102,0.34287274,0.20739646,0.099988215,-0.34133896,-0.26867038
884898c967fffff,Austin,0.07964825,0.17428203,-0.12828653,-0.19148497,0.2170414,0.09426459,-0.019545,0.07271356,0.17199771,-0.17782432,0.07144173,0.04613917,-0.20694181,0.35571086,-0.10807321,-0.19941166,0.15368232,-0.1670535,0.19694673,0.13307977,-0.0795346,-0.31330085,0.112327136,0.010418032,-0.088554196,-0.15051843,0.06829286,0.31368956,0.18440148,0.07387417,-0.29559138,-0.2713444
884898c969fffff,Austin,0.050383575,0.16530013,-0.083433315,-0.17174931,0.24214742,0.08794354,0.003443196,0.073987976,0.13784611,-0.16203885,0.08518703,0.06451273,-0.20022051,0.32090536,-0.054571174,-0.16401602,0.12769984,-0.18944003,0.19052814,0.11404678,-0.04369396,-0.28774008,0.09539147,0.046283357,-0.122410744,-0.17030184,0.09351051,0.33580485,0.21448177,0.098770656,-0.37134472,-0.27495342
884898c96bfffff,Austin,0.029450396,0.15244444,-0.09862609,-0.20976114,0.23117547,0.09975836,0.016560266,0.085181534,0.15873125,-0.1760523,0.06312916,0.06730571,-0.19782104,0.3186275,-0.10315384,-0.18417038,0.15402395,-0.16572209,0.19727579,0.104717925,-0.09438907,-0.30762523,0.08849774,0.0039111935,-0.0989184,-0.17477414,0.098314956,0.3533732,0.15937984,0.055123556,-0.34290224,-0.26070836
884898c96dfffff,Austin,0.048511896,0.149766,-0.0822476,-0.12114205,0.25003076,0.08073525,0.0029800683,0.08299793,0.13501988,-0.13850108,0.074371345,0.071625374,-0.20151342,0.3012025,-0.059887126,-0.14473501,0.09915461,-0.15699205,0.16197532,0.14787659,-0.0062966477,-0.27320713,0.113660075,0.055854343,-0.13660946,-0.19271903,0.1214015,0.34714368,0.22160976,0.14482172,-0.39657712,-0.28669992
884898c9e1fffff,Austin,-0.012770576,0.15919729,-0.15949985,-0.20291087,0.20061414,0.12814452,0.053049278,0.08591864,0.17256209,-0.12109153,0.003344244,0.024778452,-0.16539437,0.26133826,-0.18153477,-0.1308232,0.09593725,-0.11612536,0.16662104,0.12620825,-0.03690541,-0.28778002,0.12527421,0.015017387,-0.11097204,-0.22755004,0.116337165,0.3775493,0.19561063,0.082953684,-0.3609756,-0.29686648
884898c9e5fffff,Austin,-0.030667828,0.2333457,-0.1623556,-0.12847152,0.10714202,0.18342714,0.089807786,0.07032635,0.10237726,-0.06904589,0.015450796,-0.046124067,-0.09724772,0.20780966,-0.17182504,-0.06417733,-0.045746006,-0.10598499,0.19515437,0.12753016,0.06727047,-0.23699468,0.17930946,0.018980797,-0.0834316,-0.26918688,0.11109745,0.3539156,0.31712252,0.15781523,-0.36273652,-0.323666
884898c9edfffff,Austin,-0.0209221,0.16360429,-0.14938295,-0.19786638,0.20238318,0.13031624,0.06295177,0.08714064,0.15845162,-0.1180182,0.014750939,0.026368402,-0.16839716,0.26299208,-0.1717242,-0.12700224,0.08490795,-0.118361376,0.1709636,0.12304448,-0.03683315,-0.29041883,0.12107649,0.021182356,-0.11030856,-0.23106551,0.12010653,0.38147497,0.20000352,0.085055016,-0.36714548,-0.29121763
884898cb21fffff,Austin,-0.00034685383,0.14211847,-0.13493976,-0.21979348,0.19948724,0.12022108,0.034633674,0.048174407,0.15677384,-0.14134082,0.034688193,0.022637963,-0.15070264,0.26396012,-0.138556,-0.14817822,0.12871487,-0.12789276,0.1942647,0.10403969,-0.03250985,-0.28391823,0.13683502,0.059434067,-0.10828095,-0.23610368,0.08031864,0.35393584,0.21317698,0.08818739,-0.3910434,-0.29149
884898cb23fffff,Austin,-0.0009253656,0.14300697,-0.11307853,-0.21956664,0.24191047,0.095788725,0.02776364,0.07923929,0.15950617,-0.1532657,0.03777335,0.045949504,-0.20107883,0.28795087,-0.13283071,-0.14732903,0.14179865,-0.13829328,0.16794017,0.11857294,-0.058369536,-0.29470357,0.08902849,0.060748477,-0.13281299,-0.20338479,0.08269295,0.35401088,0.18474764,0.08235152,-0.3724961,-0.27282727
884898cb25fffff,Austin,0.04300974,0.1900638,-0.1256877,-0.19147688,0.23599601,0.09456286,0.025460994,0.09371008,0.19179288,-0.15544032,0.051865347,0.035110805,-0.20135438,0.30451238,-0.12549837,-0.1719395,0.10904803,-0.17490794,0.14635602,0.13383412,-0.029227281,-0.29419094,0.14380601,0.0013005765,-0.10848273,-0.17885412,0.0958012,0.34204334,0.19894077,0.081487276,-0.33829048,-0.2675041
884898cb27fffff,Austin,0.0806709,0.28018638,-0.069125704,-0.12263671,0.26823053,0.045086198,0.06287487,0.11601167,0.16359214,-0.07544632,0.07783931,0.008527414,-0.24393399,0.3178419,-0.040222913,-0.09118473,0.004286799,-0.24741864,0.070268214,0.17416668,0.05138628,-0.23349974,0.15094177,0.06221464,-0.19227773,-0.16058236,0.11369683,0.31503946,0.24296081,0.122079484,-0.34262213,-0.21943335
884898cb29fffff,Austin,-0.019158471,0.15082428,-0.13281266,-0.20180595,0.20546576,0.13155669,0.061335824,0.07550546,0.14340127,-0.12787485,0.02870388,0.03301795,-0.16370423,0.25919193,-0.14777578,-0.13485283,0.09538973,-0.12605646,0.18785858,0.113212645,-0.03779147,-0.2939309,0.119907476,0.0353399,-0.11062588,-0.23507752,0.12072776,0.3804513,0.19727595,0.08004192,-0.3826821,-0.2855966
884898cb2dfffff,Austin,0.07605495,0.18424489,-0.15291734,-0.19229302,0.24467811,0.07522694,0.018992582,0.064456135,0.23660491,-0.11698122,0.02382659,0.005871505,-0.1806256,0.2749843,-0.11836585,-0.16847983,0.123706505,-0.18490836,0.10086358,0.14464319,0.017156776,-0.27106014,0.18917419,0.048572533,-0.13621846,-0.1965897,0.0855138,0.3303289,0.18038774,0.07219843,-0.36502466,-0.26800913
884898cb61fffff,Austin,-0.017037846,0.15733108,-0.12680241,-0.20956337,0.22300658,0.11165051,0.05246042,0.08643203,0.16087791,-0.13367008,0.031247646,0.039135363,-0.18478358,0.2765316,-0.15202233,-0.13722268,0.10927296,-0.13206725,0.16723186,0.118039906,-0.047586814,-0.29155275,0.106680006,0.032509923,-0.117462836,-0.21969968,0.110635065,0.3728998,0.19496907,0.083376504,-0.37165725,-0.27620068
884898cb65fffff,Austin,0.18374293,0.06974646,-0.24643028,0.075990565,0.31122285,0.16900496,-0.028676627,0.2530816,0.012260263,-0.19091323,-0.20371296,0.16202335,0.09226886,0.054550868,0.038866635,0.084577896,-0.047654115,-0.080692075,0.12662463,0.11535253,0.03379318,0.080214426,-0.21012987,-0.18569596,-0.13788462,0.19616587,0.07529534,-0.22389592,-0.021355486,-0.011178556,-0.13898276,-0.5679342
884898cb67fffff,Austin,-2.2614435e-05,0.14727642,-0.12117148,-0.2261203,0.2332171,0.093561456,0.02789403,0.071607545,0.17956269,-0.14717864,0.03492966,0.034598574,-0.18683825,0.28256777,-0.14493233,-0.14930019,0.14321508,-0.13677028,0.15880181,0.1162762,-0.04552503,-0.28163606,0.11372813,0.054263137,-0.12405539,-0.21335605,0.07815423,0.34908727,0.19853874,0.09067642,-0.37690398,-0.27436256
884898cb6dfffff,Austin,-0.00935219,0.16234925,-0.16902857,-0.19895817,0.18869685,0.13589722,0.052115217,0.08039758,0.17354426,-0.11624452,-0.0020247602,0.015720436,-0.15493748,0.25515237,-0.18687384,-0.12822296,0.08723379,-0.11277235,0.17145552,0.12755121,-0.025835743,-0.2825186,0.13778159,0.013378494,-0.107120074,-0.23265965,0.11463599,0.3744244,0.20509718,0.08818361,-0.36016575,-0.30602536
884898d921fffff,Austin,0.04530176,0.24472235,-0.10592146,-0.11455608,0.17581537,0.038984004,-0.03389096,0.08802307,0.23604794,-0.12346254,0.010720249,-0.07754444,-0.19487172,0.28430235,-0.21729842,-0.07434586,0.08916257,-0.09237417,0.07184031,0.18494089,0.045061346,-0.18092732,0.13326515,0.06768681,-0.16775556,-0.23469481,0.034150932,0.24657291,0.3630395,0.22147289,-0.33408728,-0.2704563
884898d923fffff,Austin,-0.029852519,0.2730326,-0.047412958,-0.10230286,0.18985769,0.09861072,0.08227113,0.12575206,0.0901571,-0.09717934,0.09355605,-0.008241632,-0.19866271,0.27086806,-0.10423827,-0.056624807,-0.043543097,-0.18483691,0.11579294,0.13522406,0.041659683,-0.24195254,0.12109486,0.04184425,-0.12949565,-0.21320732,0.12205374,0.3519929,0.35048392,0.19192512,-0.36016348,-0.23523319
884898d925fffff,Austin,0.026959913,0.20147161,-0.055869877,-0.17915256,0.22663653,0.009043918,0.036990147,0.09753618,0.2035081,-0.15447682,0.03183142,-0.003750989,-0.19592251,0.2826933,-0.16275954,-0.09812623,0.15057866,-0.13216066,0.068064906,0.13977204,-0.015285885,-0.23714788,0.08286606,0.06385203,-0.19247308,-0.25307807,0.08846061,0.31254897,0.29116392,0.14282538,-0.38638234,-0.21820152
884898d927fffff,Austin,0.012764037,0.19822136,-0.099771984,-0.14310746,0.17972377,-0.0089955,0.037971903,0.08474815,0.2617982,-0.09453291,0.004580491,-0.015253258,-0.1809159,0.25674325,-0.2173893,-0.103308335,0.089552805,-0.08232832,0.024271598,0.15964587,0.00818315,-0.24076334,0.15170552,0.034113064,-0.17990565,-0.2864838,0.12609778,0.33359355,0.27295357,0.13622506,-0.38801906,-0.21556665
884898d929fffff,Austin,0.00032613167,0.17501272,-0.17413917,-0.18532504,0.1992189,0.103892736,0.0046009994,0.08169038,0.19921102,-0.12934388,0.019491509,0.016133213,-0.17558016,0.282972,-0.17876804,-0.14536595,0.10129211,-0.14239503,0.12701015,0.16140886,-0.032472275,-0.29274833,0.13914335,0.044985376,-0.09909533,-0.21090935,0.08620143,0.36182472,0.19993086,0.12206542,-0.33524916,-0.29274923
884898d92bfffff,Austin,-0.023028605,0.16663614,-0.14828362,-0.19381556,0.19813746,0.13461076,0.06706083,0.08461014,0.15209638,-0.11430791,0.018358104,0.022870623,-0.1650375,0.26098388,-0.16876243,-0.12427653,0.07602376,-0.11798335,0.17544723,0.12203993,-0.031528257,-0.2889978,0.12532426,0.024475567,-0.10844238,-0.23539005,0.120720096,0.3815206,0.20646718,0.088671446,-0.37051508,-0.29242703
884898d92dfffff,Austin,-0.21762107,0.16808969,0.30766678,0.07651456,-0.058216467,-0.19406061,-0.06609747,0.21309899,0.19485797,-0.3370941,0.17029768,0.1419069,-0.15444693,0.0075345333,-0.1563012,-0.18249735,-0.0023460893,-0.033403605,-0.161312,-0.019713098,-0.09644701,-0.17254841,-0.11300572,-0.42091247,-0.009657132,0.07585434,0.13068189,0.110306196,0.3356076,-0.112793885,0.026997754,0.18148753
884898d935fffff,Austin,-0.024094103,0.16378309,-0.14540216,-0.19531369,0.20200622,0.13224383,0.067009665,0.08640314,0.15148507,-0.11686729,0.019515323,0.027152097,-0.16844656,0.2621535,-0.16686465,-0.12608737,0.08007855,-0.1188486,0.17444186,0.1209961,-0.036286205,-0.2920897,0.1204467,0.024202159,-0.10958202,-0.23317364,0.12253196,0.3834359,0.20172414,0.08501264,-0.37036654,-0.28922305
884898d937fffff,Austin,-0.0048784167,0.14672758,-0.11412797,-0.21729532,0.239754,0.097238116,0.032578874,0.082507,0.15993962,-0.14962897,0.03765378,0.0462961,-0.20020366,0.28757218,-0.13603413,-0.14483283,0.13535793,-0.13790697,0.16698937,0.11888248,-0.05752084,-0.29414818,0.09016128,0.05380915,-0.13043784,-0.2053639,0.089788295,0.35821465,0.18689089,0.08269369,-0.37159654,-0.27198115
884898d961fffff,Austin,0.01783729,0.24663635,-0.09912363,-0.08360456,0.21252026,0.017747587,0.02871921,0.11598141,0.20333408,-0.02065632,0.006040124,-0.038739525,-0.20973492,0.23541076,-0.14975335,-0.03946132,-0.01293471,-0.17288293,-0.021872729,0.22809316,0.094475366,-0.20699026,0.17015804,0.07907895,-0.21647337,-0.21143192,0.13716698,0.34213018,0.2820001,0.19438483,-0.3627611,-0.22294895
884898d963fffff,Austin,-0.011714381,0.1547502,-0.13746856,-0.20349081,0.20520067,0.12840678,0.05423311,0.06419673,0.14915141,-0.122634664,0.0367663,0.026203386,-0.16725048,0.2723533,-0.14532197,-0.13823366,0.09390336,-0.13027859,0.18753262,0.1136532,-0.03328204,-0.2886428,0.13245496,0.04964474,-0.105853654,-0.23298246,0.10541902,0.3687729,0.20548926,0.09075148,-0.37970495,-0.2876005
884898d965fffff,Austin,-0.07848769,0.22486001,-0.07060464,-0.1234873,0.09091701,0.031292975,-0.016008878,0.17157634,0.23949127,-0.09751854,-0.062250793,0.016435694,-0.18723267,0.1551643,-0.27199546,-0.03583743,0.027918726,-0.03027121,0.07273958,0.12371363,-0.01565989,-0.20845012,0.060643632,-0.09304688,-0.21723899,-0.2007349,0.11468353,0.37298453,0.40323386,0.11095091,-0.34277964,-0.26116666
884898d967fffff,Austin,0.0514577,0.22203043,-0.1308656,-0.101472534,0.21675432,-0.037709627,-0.021553656,0.1317105,0.27741504,-0.032795805,-0.0220753,-0.028520089,-0.25312024,0.26020175,-0.1869405,-0.08919052,0.0303747,-0.18075937,-0.072782464,0.26320514,0.06528325,-0.2374577,0.14835298,0.056586526,-0.21402553,-0.17505606,0.16039993,0.3347928,0.21606928,0.16426237,-0.28322554,-0.1955084
884898d969fffff,Austin,-0.0005430848,0.14272267,-0.11657349,-0.22643796,0.2367964,0.090308264,0.025790198,0.07601822,0.17101699,-0.14859119,0.03458407,0.04131021,-0.19143493,0.28369987,-0.1392068,-0.14685914,0.14576553,-0.1340938,0.15950003,0.115131445,-0.05427975,-0.28778756,0.09958502,0.062195875,-0.13185874,-0.20862052,0.07340832,0.3517399,0.1927415,0.08787973,-0.37871605,-0.27566633
884898d96bfffff,Austin,-0.016532963,0.15592773,-0.12144695,-0.20837371,0.22604845,0.10978132,0.04973937,0.08548163,0.15591106,-0.1362698,0.035689447,0.041736376,-0.18821293,0.27934235,-0.14504531,-0.13711607,0.11093091,-0.13391814,0.17061697,0.1176531,-0.048925526,-0.29225516,0.10153763,0.03811905,-0.12010821,-0.21782994,0.10883379,0.37106737,0.19559282,0.08469304,-0.37394664,-0.27511042
884898d96dfffff,Austin,-0.021379026,0.27210802,-0.01813054,-0.09872962,0.21638471,-0.038292285,0.0011990702,0.18762982,0.22452338,-0.115916714,0.0008760241,0.028914403,-0.25519174,0.24088289,-0.16843909,-0.043329492,0.035261426,-0.14657752,-0.02540615,0.1939055,0.007787821,-0.2129977,0.050265945,-0.033343233,-0.2602984,-0.15944387,0.11510071,0.34568447,0.32083887,0.12733068,-0.34450558,-0.20012365
