report_id,operator,engaged,incident_month,municipality,state,metro,version,severity
30270-13820,Waymo LLC,True,2026-01-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13795,Waymo LLC,True,2026-01-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13606,Waymo LLC,True,2026-01-01,Santa Monica,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14237,Waymo LLC,True,2026-03-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14239,Waymo LLC,True,2026-03-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14387,Waymo LLC,True,2026-03-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14348,Waymo LLC,True,2026-03-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14346,Waymo LLC,True,2026-03-01,San Antonio,TX,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14344,Waymo LLC,True,2026-03-01,Tempe,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14345,Waymo LLC,True,2026-03-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14343,Waymo LLC,True,2026-03-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14335,Waymo LLC,True,2026-03-01,Miami,FL,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14384,Waymo LLC,True,2026-03-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14385,Waymo LLC,True,2026-03-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14331,Waymo LLC,True,2026-03-01,Mountain View,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14332,Waymo LLC,True,2026-03-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14330,Waymo LLC,True,2026-03-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-14336,Waymo LLC,True,2026-03-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14298,Waymo LLC,True,2026-03-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14333,Waymo LLC,True,2026-03-01,Dallas,TX,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14383,Waymo LLC,True,2026-03-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14389,Waymo LLC,True,2026-03-01,Inglewood,CA,Los Angeles,"5th Generation ADS, Version 10",Minor W/ Hospitalization
30270-14390,Waymo LLC,True,2026-03-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14625,Waymo LLC,True,2026-03-01,Washington,DC,,"5th Generation ADS, Version 11",Minor W/O Hospitalization
30270-14623,Waymo LLC,True,2026-04-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14578,Waymo LLC,True,2026-04-01,Venice,CA,Los Angeles,"5th Generation ADS, Version 10",No Injured Reported
30270-14457,Waymo LLC,True,2026-03-01,Houston,TX,,"5th Generation ADS, Version 11",Property Damage. No Injured Reported
30270-14441,Waymo LLC,True,2026-03-01,Orlando,FL,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14423,Waymo LLC,True,2026-03-01,Dallas,TX,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14425,Waymo LLC,True,2026-03-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14421,Waymo LLC,True,2026-03-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14420,Waymo LLC,True,2026-03-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14296,Waymo LLC,True,2026-03-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-14290,Waymo LLC,True,2026-03-01,Inglewood,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14243,Waymo LLC,True,2026-02-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14174,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14168,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14201,Waymo LLC,True,2026-02-01,Orlando,FL,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14172,Waymo LLC,True,2026-02-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14153,Waymo LLC,True,2026-02-01,Culver City,CA,Los Angeles,"6th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14151,Waymo LLC,True,2026-02-01,Nashville,TN,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13980,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13977,Waymo LLC,True,2026-02-01,Mountain View,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13978,Waymo LLC,True,2026-02-01,Lennox,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13998,Waymo LLC,True,2026-02-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14000,Waymo LLC,True,2026-02-01,Scottsdale,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13981,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14272,Waymo LLC,True,2026-03-01,Atlanta,GA,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14271,Waymo LLC,True,2026-03-01,Tempe,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14270,Waymo LLC,True,2026-03-01,Scottsdale,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14268,Waymo LLC,True,2026-03-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14267,Waymo LLC,True,2026-03-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14266,Waymo LLC,True,2026-03-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14265,Waymo LLC,True,2026-03-01,Los Angeles,CA,Los Angeles,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-14246,Waymo LLC,True,2026-03-01,Inglewood,CA,Los Angeles,"5th Generation ADS, Version 10",Minor W/O Hospitalization
30270-14244,Waymo LLC,True,2026-03-01,Phoenix,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14240,Waymo LLC,True,2026-03-01,Santa Monica,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14175,Waymo LLC,True,2026-02-01,Tempe,AZ,Phoenix,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-13955,Waymo LLC,True,2026-02-01,Scottsdale,AZ,Phoenix,"5th Generation ADS, Version 10",Unknown
30270-14274,Waymo LLC,True,2026-03-01,Dallas,TX,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14269,Waymo LLC,True,2026-03-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14225,Waymo LLC,True,2026-02-01,Atlanta,GA,,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14199,Waymo LLC,True,2026-02-01,Mountain View,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14143,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14081,Waymo LLC,True,2026-02-01,San Francisco,CA,San Francisco,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14098,Waymo LLC,True,2026-02-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14144,Waymo LLC,True,2026-02-01,Austin,TX,Austin,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
30270-14080,Waymo LLC,True,2026-02-01,Santa Monica,CA,Los Angeles,"5th Generation ADS, Version 10",Property Damage. No Injured Reported
