dgp,multiplier,mean_total_claims,learned_minus_eu_mean,learned_minus_eu_median,learned_minus_eu_q25,learned_minus_eu_q75,learned_minus_eu_lo,learned_minus_eu_hi,learned_minus_eu_se,learned_minus_indep_mean,learned_minus_indep_median,learned_minus_indep_q25,learned_minus_indep_q75,learned_minus_indep_lo,learned_minus_indep_hi,learned_minus_indep_se,learned_minus_pool_mean,learned_minus_pool_median,learned_minus_pool_q25,learned_minus_pool_q75,learned_minus_pool_lo,learned_minus_pool_hi,learned_minus_pool_se,eu_minus_indep_mean,eu_minus_indep_median,eu_minus_indep_q25,eu_minus_indep_q75,eu_minus_indep_lo,eu_minus_indep_hi,eu_minus_indep_se
structured,1,4.37,0.003347537448629434,0.002039803281462582,-0.0386695191095594,0.05680727969571331,-0.20942012166304572,0.21350899753456926,0.005141888409543877,0.012773441182709037,0.04339334578375009,-0.05445045175436203,0.10594354402047657,-0.4048108017900456,0.27239924356820294,0.009681711235416364,-0.029053045480263117,-0.05385050151379733,-0.09364941053389675,0.034243191279418994,-0.25364684974360385,0.29107483771370907,0.007382984990121593,0.009425903734079604,0.03107479561087434,-0.03810595802064398,0.11464074845551941,-0.4430014088573344,0.289685154330126,0.010036457029719418
structured,3,13.335,-0.02533921969434281,-0.008151871410117195,-0.14866629814427235,0.07834059607564736,-0.5908109778473459,0.5222049048878064,0.014053080652906697,0.06229361690514587,0.16175705729116086,-0.0977506176029097,0.3298503173621139,-1.1452320396223905,0.6474725307466502,0.023018232415648904,0.008742145419664497,-0.09685105009432426,-0.20582211610444845,0.09671759024171811,-0.5767949786833642,1.197308144462926,0.02295727676052109,0.08763283659948867,0.15904414984906534,-0.06256208370515948,0.34141411249861675,-1.3099869841332341,0.7643588302615416,0.022547208091118917
structured,7,30.805,0.019475290662861636,-0.003988881969720026,-0.1988364049081719,0.1966245837837053,-0.8681192582553281,1.1047908809559654,0.024497867335237625,0.18240427647456042,0.37323251359109477,-0.054234471599858836,0.6811716732842528,-1.522637234669629,1.0665991377540607,0.03913489368868374,0.037082869782743465,-0.13778841134574726,-0.30496216843655555,0.25124410511706596,-1.074834125470984,2.086270337865364,0.03748156092534813,0.1629289858116988,0.31022855152166695,-0.14164290697637183,0.591674959627507,-1.558754128868807,1.104019803746245,0.03546194924245643
structured,15,65.5425,0.06939547358118194,0.03507757727221339,-0.23358717768453818,0.2800953596469866,-1.136119807633898,1.6970020572249371,0.033546180341013296,0.46078925854908676,0.6402353841827129,0.16938395470518586,1.0194755955606039,-2.0756635434577655,1.7339524265012092,0.04726335948619674,0.24445062809419307,-0.09250624642107041,-0.3436335827090091,0.47835044464787435,-1.3038454063942664,3.7503463766623613,0.05979997171822239,0.39139378496790483,0.5933368222773607,0.055784105993399,0.9332965133346018,-1.8818249148828412,1.4844351026408356,0.043662247740232765
structured,23,100.8975,0.16389697961359562,0.06714753551533548,-0.2494990809630746,0.4746525046745309,-1.7357666243293968,2.5419277624741747,0.047747760507267575,0.6153208598446757,0.9414706863486177,0.22529804854381652,1.3456785849786335,-1.9750451146964814,1.892625227466426,0.05789167438158861,0.38124377296566514,0.018954277955770316,-0.3552270480373916,0.7327921294766409,-1.8266609434192043,4.2377290381555115,0.07700049336453826,0.45142388023108004,0.7760046150043127,0.0874148613713226,1.152299507361862,-2.7208402792716013,1.7639816634522514,0.055243222230520604
structured,46,201.6325,0.23474372201192156,0.1610793721656032,-0.3387541035899284,0.7788235922830982,-1.9988524694505272,2.601803847535446,0.054559067531685754,0.8505976491581396,1.1632611851740604,0.3942826652758784,1.6676564250432664,-2.9345083476543192,2.4334129688988666,0.06377961929702461,0.6766206933888735,0.15656600410717747,-0.367014981776272,1.3725418117371042,-2.1012580719860656,5.702066961682898,0.09670610467816451,0.615853927146218,0.9955381057644939,0.06765145139374074,1.466291510500322,-2.8775708100029513,2.2874906979917378,0.06301423624938703
structured,76,332.64,0.2514685967058407,0.1886168689690404,-0.39316345163336797,0.7869640825499635,-2.433196282569265,3.304309631432242,0.06585402913617985,0.9769457082898794,1.3768837572394297,0.5610743404387915,1.893404386606842,-4.3577142092001155,2.7047411377109394,0.07736137770267244,0.7425092759954757,0.23566805876085795,-0.3295102055642598,1.4498008797320727,-3.5745958718707542,6.771171218171717,0.1169766723179875,0.7254771115840386,1.0925011637016784,0.22736444093465202,1.6277811928428667,-2.8470356891174973,2.406013720021647,0.06848162124650123
structured,150,657.515,0.36796500172500934,0.2664613323338436,-0.45722717010250413,0.9291377078410532,-2.2854359298231866,4.049589120561672,0.07677592429411047,1.2333338866685681,1.640128505456337,0.6458438187642095,2.2025208742911726,-2.9925312442660865,3.083286303676647,0.07541613405837887,0.958956208202297,0.3582174665553488,-0.31340644945765384,1.858624701336022,-2.8123184257849214,7.405178727120319,0.13560614366313323,0.8653688849435588,1.271609591985504,0.34343353270477994,1.798845630405232,-3.2457582708757724,2.466693485840458,0.07062898894415025
structured,300,1315.12,0.49792461182702114,0.28212337876467686,-0.33492599502694187,1.1427230612591526,-2.595868627252986,4.267355830571967,0.08524652227832506,1.392439742481924,1.8509290310985236,0.8301755781258242,2.3633854345872,-2.3499226538380236,3.310102226280158,0.08250432292280681,1.1676986352093939,0.4044025801364217,-0.2916690041700969,2.154266262139762,-2.879096533928414,8.105660362229905,0.14676324029471882,0.8945151306549031,1.3361642542455474,0.39104917726217714,1.9169023594425711,-2.8985719408453905,2.7085166184282916,0.07569185853001296
structured,600,2630.0275,0.5407326141357055,0.4274254662833403,-0.3469351366366338,1.3064205833026579,-2.882977088139203,4.4665523192683585,0.08817247600344826,1.4526403212232606,1.9747992110506694,0.9875145091052779,2.47708774405145,-3.124248778032032,3.326190995907174,0.08197369363863191,1.2384394254205808,0.6166043576271285,-0.23411585720445682,2.1647856312689564,-3.09216093166174,9.317653242954387,0.1516789277439064,0.9119077070875551,1.3638330580880993,0.3641828565880987,2.0033655655830334,-3.454688946796905,2.7411161480438335,0.08004467233003308
