model,mean_total_logp,mc_sd,best_among_RE_of_9
Single pool,-133.15933070221513,0.0,
Independent RE,-28.604615309675992,0.5377533678218239,7.0
GP Euclidean,-29.522139461683903,0.9080824739652317,0.0
GP HDV-only,-30.51012193630573,2.093101375721561,1.0
GP learned,-30.63358248629257,2.067712275891055,1.0
