held_city,held_claims,held_exposure_million_miles,logp_pool,logp_indep_re,logp_gp_euclidean,logp_gp_learned
San Francisco,254,36.37,-16.99137885190362,-6.629992882357805,-6.7634965466098595,-6.94771626616409
Phoenix,135,46.62,-86.93907105285723,-5.780048710448872,-5.877576263553419,-5.945976845233271
Los Angeles,186,25.719999999999995,-13.359001735163815,-7.615313215784142,-7.992072209800477,-7.427710942974216
Austin,74,7.29,-15.869879062290465,-8.163756843339453,-9.599131787298901,-9.844302093007396
