city,0.3,0.5,1.0,rel_03_vs_05,rel_10_vs_05
Boston,1.4477980866039122,1.163060383872073,0.9088549042746707,0.24481764376144202,-0.21856602040824283
Denver,1.1542208121706978,0.9596376564898652,0.7825788399103507,0.20276731989923494,-0.18450590739337502
Miami,0.8852220535923931,0.6839803311498726,0.5846808028586952,0.29422150503100486,-0.1451789236749544
