pool,indep,eu,hdv_only,learned,seed
-133.15933070221513,-28.85984902408518,-31.13494331528674,-34.76782151878414,-30.13911350233979,101
-133.15933070221513,-29.398705793211334,-28.992428625428612,-28.97187941264067,-30.45371758535149,202
-133.15933070221513,-28.321317133121543,-28.84125940040854,-29.540783005421204,-29.885570733387887,303
-133.15933070221513,-29.52712399453495,-29.805795397092997,-29.31112188352502,-28.587285175390058,404
-133.15933070221513,-28.3889573362351,-29.21168270272333,-29.75149032456585,-28.945484752084376,505
-133.15933070221513,-28.001376548773262,-28.408834421029198,-28.93488000790394,-35.60882225586684,606
-133.15933070221513,-28.230125011363594,-30.087629428123847,-29.891821820784997,-30.836844057820326,707
-133.15933070221513,-28.275827421412295,-30.474554025937152,-33.42170700615593,-29.746480020230432,808
-133.15933070221513,-28.438255524346655,-28.742127839124663,-29.999592446969814,-31.498924294161903,909
